"CONTRACT_SYMBOL","CONTRACT_YEAR","CONTRACT_MONTH","MONTH_ORDER","MIN_TRADING_DATETIME","MAX_TRADING_DATETIME","TICK_COUNT"
"ESU03","2003","U","3","2003-06-30 23:00:01.000","2003-09-10 15:14:59.000","2984986"
"ESZ03","2003","Z","4","2003-09-10 15:45:00.000","2003-12-10 15:14:59.000","5367422"
"ESH04","2004","H","1","2003-12-10 15:30:01.000","2004-03-10 15:14:59.000","5860665"
"ESM04","2004","M","2","2004-03-10 15:30:00.000","2004-06-09 15:14:59.000","7352481"
"ESU04","2004","U","3","2004-06-09 15:30:24.000","2004-09-08 15:14:59.000","5443393"
"ESZ04","2004","Z","4","2004-09-08 15:33:09.000","2004-12-08 15:14:59.000","5694680"
"ESH05","2005","H","1","2004-12-08 15:30:00.000","2005-03-09 15:14:59.000","5561291"
"ESM05","2005","M","2","2005-03-09 15:30:04.000","2005-06-08 15:14:59.000","7242101"
"ESU05","2005","U","3","2005-06-08 15:30:50.000","2005-09-07 15:14:59.000","6030893"
"ESZ05","2005","Z","4","2005-09-07 15:30:05.000","2005-12-07 15:14:59.000","7159588"
"ESH06","2006","H","1","2005-12-07 15:30:20.000","2006-03-08 15:14:59.000","3639229"
"ESM06","2006","M","2","2006-03-08 15:30:44.000","2006-06-07 15:14:59.000","4005986"
"ESU06","2006","U","3","2006-06-07 15:30:29.000","2006-09-06 15:14:59.000","4074842"
"ESZ06","2006","Z","4","2006-09-06 15:30:03.000","2006-12-06 15:14:59.000","3381947"
"ESH07","2007","H","1","2006-12-06 15:30:02.000","2007-03-07 15:14:59.000","3654619"
"ESM07","2007","M","2","2007-03-07 15:31:01.000","2007-06-06 15:14:59.000","4431583"
"ESU07","2007","U","3","2007-06-06 15:30:00.000","2007-09-12 15:14:59.000","10630799"
"ESZ07","2007","Z","4","2007-09-12 15:30:00.000","2007-12-12 15:14:59.000","9814304"
"ESH08","2008","H","1","2007-12-12 15:30:01.000","2008-03-12 15:14:59.000","12749059"
"ESM08","2008","M","2","2008-03-12 15:30:00.000","2008-06-11 15:14:59.000","10608779"
"ESU08","2008","U","3","2008-06-11 15:30:00.000","2008-09-10 15:14:59.000","12128961"
"ESZ08","2008","Z","4","2008-09-10 15:30:23.000","2008-12-10 15:14:59.000","29871988"
"ESH09","2009","H","1","2008-12-10 15:30:00.000","2009-03-11 15:14:59.000","17505396"
"ESM09","2009","M","2","2009-03-11 15:30:00.000","2009-06-10 15:14:59.000","16326280"
"ESU09","2009","U","3","2009-06-10 15:30:00.000","2009-09-09 15:14:59.000","11368550"
"ESZ09","2009","Z","4","2009-09-09 15:30:00.000","2009-12-09 15:14:59.000","22428067"
"ESH10","2010","H","1","2009-12-09 15:30:00.000","2010-03-10 15:14:59.000","21741249"
"ESM10","2010","M","2","2010-03-10 15:30:00.000","2010-06-09 15:14:59.000","33627581"
"ESU10","2010","U","3","2010-06-09 15:30:00.000","2010-09-09 15:14:59.000","32617100"
"ESZ10","2010","Z","4","2010-09-09 15:30:00.000","2010-12-08 15:14:59.000","28079135"
"ESH11","2011","H","1","2010-12-08 15:30:01.000","2011-03-10 15:14:59.000","20702229"
"ESM11","2011","M","2","2011-03-10 15:30:00.000","2011-06-09 15:14:59.000","24298310"
"ESU11","2011","U","3","2011-06-09 15:30:00.000","2011-09-08 15:14:59.897","39346331"
"ESZ11","2011","Z","4","2011-09-08 15:30:00.026","2011-12-08 15:14:59.163","46138813"
"ESH12","2012","H","1","2011-12-08 15:30:00.032","2012-03-08 15:14:59.949","24600088"
"ESM12","2012","M","2","2012-03-08 15:30:00.030","2012-06-07 15:14:59.684","28521496"
"ESU12","2012","U","3","2012-06-07 15:30:00.027","2012-09-13 15:14:59.985","28424192"
"ESZ12","2012","Z","4","2012-09-13 15:30:00.032","2012-12-13 16:14:59.241","25610160"
"ESH13","2013","H","1","2012-12-13 17:00:00.027","2013-03-07 16:14:59.778","19727766"
"ESM13","2013","M","2","2013-03-07 17:00:00.024","2013-06-13 16:14:59.511","30777614"
"ESU13","2013","U","3","2013-06-13 17:00:00.029","2013-09-12 16:14:58.709","26768789"
"ESZ13","2013","Z","4","2013-09-12 17:00:00.024","2013-12-12 16:14:59.939","24884509"
"ESH14","2014","H","1","2013-12-12 17:00:00.042","2014-03-13 16:14:59.741","24998016"
"ESM14","2014","M","2","2014-03-13 17:00:00.023","2014-06-12 16:14:58.663","25015210"
"ESU14","2014","U","3","2014-06-12 17:00:00.037","2014-09-11 16:14:59.797","22454021"
"ESZ14","2014","Z","4","2014-09-11 17:00:00.019","2014-12-11 16:14:58.669","33136557"
"ESH15","2015","H","1","2014-12-11 17:00:00.042","2015-03-12 16:14:59.935","30353846"
"ESM15","2015","M","2","2015-03-12 17:00:00.021","2015-06-11 16:14:59.267","10781726"
"ESU15","2015","U","3","2015-06-11 17:00:00.021","2015-09-10 16:14:59.924","13128102"
"ESZ15","2015","Z","4","2015-09-10 17:00:00.021","2015-10-13 15:59:59.134","5132336"
